Time [ms],Ox High (FLowmeter),Ox Low (Flowmeter),Eth High (Flowmeter),Eth Low (Flowmeter),Eth Chamber Pres.,Ox Chamber Pres.,Chamber Pres.,Load Cell,Thermocouple [C]
31374,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
31475,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
31576,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
31677,12.26,17.12,-46.28,-45.73,5.26,5.26,-3.81,0,33.5
31778,12.26,17.12,-46.28,-49.15,-0.79,2.23,5.26,0,33.5
31879,12.26,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.5
31981,12.26,17.12,-46.28,-45.73,2.23,-0.79,5.26,0,33.5
32081,8.67,17.12,-46.28,-42.32,2.23,2.23,8.28,0,33.5
32182,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,21.29,33.5
32283,8.67,17.12,-46.28,-45.73,2.23,5.26,2.23,0,33.5
32384,12.26,20.73,-46.28,-45.73,2.23,-0.79,8.28,0,33.5
32485,12.26,17.12,-42.91,-45.73,2.23,-3.81,2.23,0,33.5
32586,12.26,17.12,-46.28,-49.15,5.26,2.23,5.26,0,33.5
32687,15.84,17.12,-42.91,-45.73,-0.79,5.26,5.26,0,33.5
32788,12.26,17.12,-46.28,-45.73,2.23,5.26,-0.79,0,33.5
32889,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
32990,8.67,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
33091,12.26,17.12,-46.28,-45.73,-0.79,-0.79,8.28,0,33.5
33192,12.26,20.73,-46.28,-49.15,2.23,2.23,5.26,0,33.5
33293,8.67,17.12,-42.91,-45.73,2.23,-9.86,5.26,0,33.5
33394,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
33495,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
33596,8.67,20.73,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
33697,12.26,17.12,-46.28,-42.32,2.23,5.26,5.26,0,33.5
33798,12.26,20.73,-42.91,-45.73,2.23,5.26,5.26,0,33.5
33899,8.67,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
34000,12.26,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.5
34101,12.26,17.12,-42.91,-49.15,2.23,2.23,5.26,0,33.5
34202,12.26,17.12,-46.28,-45.73,2.23,8.28,5.26,0,33.5
34303,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
34404,12.26,17.12,-42.91,-45.73,2.23,2.23,2.23,0,33.5
34506,8.67,17.12,-46.28,-45.73,-0.79,-12.88,5.26,0,33.5
34606,12.26,17.12,-46.28,-45.73,-0.79,2.23,8.28,0,33.5
34707,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
34808,15.84,17.12,-46.28,-45.73,2.23,5.26,2.23,0,33.5
34909,12.26,17.12,-46.28,-45.73,-0.79,5.26,5.26,22.09,33.5
35010,12.26,24.34,-46.28,-45.73,2.23,5.26,5.26,0,33.5
35112,12.26,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.5
