x,SL,4000ft,8000ft,12000ft,16000ft,20000ft,24000ft,28000ft,31000ft,std_37C,std_30C,std_20C,std_10C,std,std_neg10C,std_neg20C,std_neg30C
31.7094,96.6951,81.5164,64.9505,51.6903,38.5015,33.611,21.0971,87.0542,7.6132,50.757,62.3003,82.5981,106.1464,1107.7118,-13241.3296,-26304.3006,-332424.1287
32.0928,96.1153,80.8858,64.3902,51.2494,38.0664,34.6502,21.099,89.9897,7.543,50.9469,62.443,82.7316,106.4311,1137.5241,-13509.6032,-26715.8056,-336713.4998
32.2788,95.8338,80.5794,64.123,51.0355,37.8544,35.1879,21.1038,91.4406,7.5132,51.0369,62.5122,82.796,106.5694,1152.2051,-13641.0722,-26917.0269,-338808.2516
33.0539,94.6607,79.3018,63.0421,50.144,36.9606,37.6702,21.152,97.6734,7.4225,51.3989,62.8031,83.0619,107.1466,1214.8902,-14197.8898,-27766.1713,-347628.9507
33.3322,94.2392,78.8428,62.6663,49.8232,36.6308,38.6594,21.1804,99.9864,7.4048,51.524,62.9093,83.1566,107.3542,1238.0071,-14401.4591,-28075.3985,-350833.6455
33.6001,93.8334,78.401,62.3101,49.514,40.122,39.6614,21.2135,102.2501,7.3963,51.6424,63.0128,83.2474,107.5541,1260.5601,-14599.1848,-28375.1456,-353936.3723
36.7967,88.9413,73.1446,58.3099,45.7591,55.9691,55.6876,22.0503,132.2037,8.4303,52.9275,64.3687,84.3156,109.9497,1553.5262,-17098.5268,-32117.1311,-392382.2831
37.4244,87.9586,72.1231,57.5565,45.0046,60.8365,59.7831,22.3143,138.7443,9.2312,53.1593,64.6384,84.5234,110.4219,1616.3994,-17620.3388,-32888.3856,-400244.7126
39.0579,85.3424,69.4565,55.6185,43.0155,76.6287,72.0367,23.1626,156.8216,46.6034,53.7422,65.2322,85.063,111.6528,1788.591,-19027.353,-34952.7597,-421195.4739
39.2016,85.1071,69.2023,55.4491,42.8389,78.2471,73.2291,23.2485,158.4862,47.0675,53.7924,65.2775,85.1104,111.7612,1804.3428,-19154.567,-35138.3686,-423072.7214
39.3361,84.8859,68.9525,55.2905,42.6733,79.7972,74.3627,23.3307,160.0557,47.5047,53.8393,65.3191,85.1548,111.8627,1819.1788,-19274.1697,-35312.7216,-424835.1895
40.2765,83.3147,67.3755,54.1836,41.51,91.6063,82.7614,23.9515,171.3278,50.6395,54.1642,65.5931,85.4654,112.5729,1925.3352,-20124.0668,-36547.5706,-437292.3378
40.4624,82.9994,67.102,53.9649,41.2789,94.1482,84.5219,24.0839,173.6193,51.2755,54.228,65.6446,85.5269,112.7134,1946.8338,-20294.9735,-36795.0418,-439783.5695
41.2369,81.673,66.013,53.0532,40.3122,105.5026,92.2207,24.6703,183.3915,53.9832,54.4927,65.8521,85.7831,113.2989,2038.2322,-21017.2598,-37837.9007,-450263.0982
41.5154,81.1918,65.6339,52.7249,39.9632,109.8946,95.1352,24.895,186.9952,54.98,54.5873,65.9245,85.8754,113.5096,2071.8271,-21281.0585,-38217.6007,-454071.3005
44.33,76.3368,61.9223,49.3626,36.3996,164.1867,129.1673,27.591,226.1687,65.7561,55.5132,66.6239,86.8158,115.6423,2433.7377,-24071.5274,-42198.3743,-493775.0419
47.4747,71.11,57.8585,45.3584,32.3568,248.6184,177.826,31.5602,276.103,79.354,56.4372,67.3741,87.9084,118.0312,2888.2605,-27464.4362,-46961.0808,-540797.3433
48.1795,69.3465,56.951,44.3769,31.4438,271.3621,190.3924,32.5948,288.2249,82.6343,56.6228,67.5405,88.1708,118.5673,2997.7037,-28265.8905,-48075.1971,-551729.0068
48.3655,69.0126,56.7115,44.1084,31.2025,277.6134,193.8157,32.8771,291.4832,83.5147,56.6704,67.5843,88.2428,118.7089,3027.0689,-28480.0104,-48372.1956,-554639.0508
49.0457,67.9649,55.8357,43.0791,30.3188,301.3688,206.7148,33.9416,303.6051,86.7855,56.8396,67.7446,88.5274,119.2266,3136.1373,-29272.0127,-49468.4309,-565365.596
49.4169,67.4435,55.3576,42.4725,29.8357,314.9411,214.0125,34.5445,310.3612,88.6054,56.929,67.8321,87.8976,119.5093,3196.8069,-29710.3973,-50073.6749,-571278.2071
56.4523,58.4865,50.5002,51.3027,20.5974,661.9508,389.4881,49.0352,457.9541,127.8877,58.3976,69.5192,75.0192,124.8764,4505.9484,-38861.1499,-62491.7489,-691248.7942
56.4525,58.4862,50.5011,51.3038,20.5971,661.9655,389.4952,49.0358,457.9597,127.8892,58.3977,69.5193,75.0184,124.8766,4505.9974,-38861.4834,-62492.1949,-691253.0621
